comment,Subject,"Structure, Orient",Locus,Scope,Tone
You need to connect this claim specifically to the decrease in aggression exhibited by the bettas. Solid discussion,4. Logic and Thinking,Specific info,,,
Not a word,2. Writing Quality,Copy Correction,,,
1,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
"Avoid repeating phrases. Change the order, make it nicer to read. ",2. Writing Quality,Specific info,,,
Can you be more precise about this? Specify each of those values to the stimuli parameters that you used.  ,3. Technical and Scientific,Specific info,,,
"Check the x-axis, it is not right. You can be more precise with the y-axis. What is the variable that you measured for this graph? The whiskers look very similar. Were the SD similar? If not, there is a problem",3. Technical and Scientific,Specific info,,,
Do not use sentences just for the statistical outcome. Write the results similar to the example that we analyzed in the last lab. ,3. Technical and Scientific,Copy Correction,,,
"If you change the x-axis, you will not need to specify this. The reader can understand which bar correspond to each treatment. ",3. Technical and Scientific,Copy Correction,,,
Improve redaction,8. No basis to judge,No basis to judge,,,
"Is this an article? Yes! Then, the citation formatting is not right. ",3. Technical and Scientific,Copy Correction,,,
Methods should be written in past tense,2. Writing Quality,General info,,,
Past tenseThis is something that you already did it,2. Writing Quality,General info,,,
Same problem than previous figure caption,8. No basis to judge,No basis to judge,,,
Same problems than before,8. No basis to judge,No basis to judge,,,
Significant?,3. Technical and Scientific,Copy Correction,,,
They were not different groups. The same animals were control and experimental conditions. Write this according to that. ,3. Technical and Scientific,Specific info,,,
units,3. Technical and Scientific,Copy Correction,,,
"What is the role of K+, you can consider mentioning the role here instead of saying what would happen if the channels are blocked. You should also mention why is the relaxation important. Why does a muscle cannot be contracted all time? ",4. Logic and Thinking,Specific info,,,
Where are the table legends? That is necessaryYou are missing the SD for those averages.,3. Technical and Scientific,General info,,,
Where are the table legends? That is necessaryYou are missing the SD for those averages. ,3. Technical and Scientific,General info,,,
Average twitch threshold?,3. Technical and Scientific,Copy Correction,,,
"Hi Caitlyn, Very nice paper! Sorry I didn’t catch the standard deviation thing the first time around,  but I won’t take off points for it, so you get an A!",12. Narrative Comments,General info,,,
"You can write that error bars represent +/- one standard deviation. Also I didn’t realize this the first time but your standard deviation bars look very similar to each other, so I’m not 100% sure they are correct",3. Technical and Scientific,Specific info,,,
Also not super relevant,5. Praise or Concern,No basis to judge,,,Negative-unprofessional
"Are you discussing twitch threshold or contraction amplitude in these results? It’s a bit unclear, but I assume threshold because of your graph ",3. Technical and Scientific,Specific info,,,
Don’t mention raw data in your lab report. Just state “data” if you really want to include this sentence,3. Technical and Scientific,Specific info,,,
"I would say these are kind of lame error sources, and you list better stuff below, so I would get rid of them. ",4. Logic and Thinking,Specific info,,,
I would talk about your statistics rather than your bar graph ,3. Technical and Scientific,Specific info,,,
Theshold?,3. Technical and Scientific,Specific info,,,
"This is an awesome discussion, and really excellent paper overall. Most of my comments are small changes or getting rid of things, which should be easy to do for the revision, so you should definitely be able to improve your grade - B",12. Narrative Comments,General info,,,
This is not super relevant to your experiment so I wouldn’t include it,2. Writing Quality,Copy Correction,,,
"Unless you specifically discuss myograms in the results, this can be excluded",3. Technical and Scientific,Copy Correction,,,
What does this mean? Each group should have a separate standard deviation,3. Technical and Scientific,Specific info,,,
What was the concentration of the chemical?,3. Technical and Scientific,Copy Correction,,,
Good job with these citations comparing to other species ,5. Praise or Concern,Specific info,,,
Great work ,5. Praise or Concern,General info,,,
"Always use correct format for scientific names, i.e. either italicize or underline. Since you already provided both scientific and common names for your plant species, you can use their common names throughout the rest of the report including the title and abstract. Revise accordingly.",Scientific Name,Copy Correction,,,
Avoid this recipe style of writing methods section because that’s not how it is used in a scientific literature. Check primary literature on similar experiments to see how they wrote their methods section and revise.,2. Writing Quality,General info,,,
